ANNEALING SCHEDULE FOR ACRYLIC WINDOWS,,,,,
Table 15.3 Part A Minimum heating times for elevated temperature annealing of acrylic windows,,,,,
"Hold Times*, hr, for acrylic placed in a forced-circulation air oven maintained at the set temperature within ± 5°F (2.8°C)",,,,,
"Thickness, inch (mm)",Maximum oven heating rate,230°F (max) ,212°F (min) ,195°F (min) ,185°F  (max)
"0.250 to 0.375, incl. (6 to 10, incl.)",100 (56),2.5,3.5,5.5,10
"0.500 to 0.750, incl. (13 to 19, incl.)",100 (56),3,4,6,11
"0.875 to 1.125, incl. (22 to 28, incl.)",100 (56),3.5,4.5,6.5,11.5
"1.250 to 1.500, incl. (32 to 38, incl.)",100 (56),4,5,7,12
≥1.750 (44)  ,100 (56),5,5.5,7.5,12.5
≥ 2.000 (50),100 (56),6,6,8,13
≥2.250 (57),50 (28),7,7,9,14
≥ 2.500 (64),50 (28),8,9,11,15
≥ 3.000 (75),50 (28),10,11,12,17
≥ 3.250 (82),50 (28),12,12,14,18
≥ 3.500 (89),50 (28),13,13,15,19
≥ 3.750 (92),50 (28),14,14,16,20
4.000 (100),50 (28),16,17,18,22
">4.000 to 6.000, incl. (> 100 to 152, incl.)",25 (14),28,31,34,40
">6.000 to 8.000, incl. (> 152 to 203, incl.)",15 (8),40,45,50,58
">8.000 to 10.000, incl. (> 203 to 254, incl.)",2 (1),76,87,98,112
">10.000 to 12.000, incl. (> 254 to 305, incl.) ",5 (3),64,73,82,94
">12.000 to 14.000, incl. (> 305 to 356, incl.)",2(1) ,76,87,98,112
">14.000 to 16.000, incl. (> 356 to 406, incl.)",1 (0.5),88,101,114,130
Does not include the period of time required to raise the oven temperature from ambient room temperature to the set annealing temperature.,,,,,
